2026-06-12T10:48:13.416457815Z I0612 10:48:13.416223       1 options.go:263] external host was not specified, using 10.115.252.95
2026-06-12T13:38:15.231063369Z I0612 13:38:15.230918       1 policy_source.go:248] refreshing policies
2026-06-12T13:44:32.100976862Z W0612 13:44:32.100839       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T13:44:32.101000306Z E0612 13:44:32.100882       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T13:44:32.112741532Z W0612 13:44:32.112646       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T13:44:32.112761675Z E0612 13:44:32.112683       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T13:48:14.448533516Z I0612 13:48:14.448411       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T13:48:14.566830551Z I0612 13:48:14.566661       1 policy_source.go:248] refreshing policies
2026-06-12T13:58:14.448664707Z I0612 13:58:14.448512       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T13:58:14.890426580Z I0612 13:58:14.890241       1 policy_source.go:248] refreshing policies
2026-06-12T14:08:14.448906896Z I0612 14:08:14.448690       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:08:15.224969925Z I0612 14:08:15.223819       1 policy_source.go:248] refreshing policies
2026-06-12T14:09:42.610067497Z W0612 14:09:42.609920       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:09:42.610101971Z E0612 14:09:42.609961       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:09:42.627736656Z W0612 14:09:42.627626       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:09:42.627755561Z E0612 14:09:42.627662       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:15:02.362472235Z W0612 14:15:02.362338       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:15:02.362491710Z E0612 14:15:02.362391       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:15:02.374615960Z W0612 14:15:02.374523       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:15:02.374631391Z E0612 14:15:02.374556       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:18:14.448901477Z I0612 14:18:14.448750       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:18:14.571317321Z I0612 14:18:14.571141       1 policy_source.go:248] refreshing policies
2026-06-12T14:28:14.449005502Z I0612 14:28:14.448806       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:28:14.906970875Z I0612 14:28:14.906856       1 policy_source.go:248] refreshing policies
2026-06-12T14:28:30.752483741Z I0612 14:28:30.752314       1 controller.go:667] quota admission added evaluator for: deployments.apps
2026-06-12T14:31:32.985773459Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985805482Z E0612 14:31:30.242813       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=245665&timeoutSeconds=534&watch=true" auditID="520ea54d-dadc-4c75-a9b4-1cda1a542946"
2026-06-12T14:31:32.985815718Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985827852Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985830619Z E0612 14:31:30.243112       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=254633&timeoutSeconds=568&watch=true" auditID="5cd01773-46e0-458d-a4a7-cab6d4baaeee"
2026-06-12T14:31:32.985833067Z E0612 14:31:30.243129       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=249809&timeoutSeconds=365&watch=true" auditID="1365d945-32e2-4326-a38e-11fb80c2271f"
2026-06-12T14:31:32.985835307Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985837443Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985839856Z E0612 14:31:30.243409       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=251747&timeout=15m0s&timeoutSeconds=560&watch=true" auditID="62314c55-4bbc-4394-b384-4ea302908d70"
2026-06-12T14:31:32.985847046Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985849435Z E0612 14:31:30.243427       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=253210&timeout=15m0s&timeoutSeconds=330&watch=true" auditID="72e47675-2395-49de-b644-649f34fe77b3"
2026-06-12T14:31:32.985851746Z 2026/06/12 14:31:30 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:31:32.985853939Z E0612 14:31:30.243520       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=251747&timeoutSeconds=408&watch=true" auditID="a2a4b9ab-b059-4a48-9538-06f7662e3186"
2026-06-12T14:31:32.985856495Z E0612 14:31:30.243565       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=250057&timeout=15m0s&timeoutSeconds=582&watch=true" auditID="e5871fa4-3657-45db-8e2e-7814bd59aed8"
2026-06-12T14:31:52.718887135Z E0612 14:31:52.718745       1 watch.go:301] "Unhandled Error" err="http2: stream closed" logger="UnhandledError"
2026-06-12T14:34:01.248944572Z W0612 14:34:01.248810       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:34:01.248969101Z E0612 14:34:01.248853       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:34:01.261208008Z W0612 14:34:01.261092       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:34:01.261225873Z E0612 14:34:01.261148       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:36:59.343313260Z W0612 14:36:59.343178       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:36:59.343340924Z E0612 14:36:59.343223       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:36:59.359679640Z W0612 14:36:59.359539       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:36:59.359698505Z E0612 14:36:59.359589       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:37:21.692496222Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692514975Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692519082Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692523100Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692526720Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692531991Z E0612 14:37:18.947553       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=254887&timeout=15m0s&timeoutSeconds=482&watch=true" auditID="da109342-40bc-4f02-b38a-0a766654f088"
2026-06-12T14:37:21.692537107Z E0612 14:37:18.947553       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=260118&timeoutSeconds=447&watch=true" auditID="d32d2d10-585b-4f60-b4fa-b0dbe3fe5e8a"
2026-06-12T14:37:21.692540913Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692544287Z E0612 14:37:18.947562       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=254887&timeoutSeconds=421&watch=true" auditID="79641876-fd6b-452d-9543-74565f49c21a"
2026-06-12T14:37:21.692548145Z 2026/06/12 14:37:18 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:37:21.692556403Z E0612 14:37:18.947608       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=260292&timeout=15m0s&timeoutSeconds=408&watch=true" auditID="4a519bd8-bc39-48c3-9932-fd698764d288"
2026-06-12T14:37:21.692560335Z E0612 14:37:18.947634       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=254942&timeoutSeconds=444&watch=true" auditID="9a5ab433-09f3-4303-bae8-5e4064c2a797"
2026-06-12T14:37:21.692563894Z E0612 14:37:18.947676       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=254942&timeoutSeconds=577&watch=true" auditID="a671e100-fa5e-4b7a-8c84-0678e94005ba"
2026-06-12T14:37:21.692575204Z E0612 14:37:18.947704       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=254931&timeout=15m0s&timeoutSeconds=443&watch=true" auditID="db2da197-3fa8-43ed-9327-bbf7cb2827c0"
2026-06-12T14:37:21.692577880Z E0612 14:37:19.060523       1 controller.go:113] "Unhandled Error" err=<
2026-06-12T14:37:21.692581166Z 	loading OpenAPI spec for "v1.subresources.kubevirt.io" failed with: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: error trying to reach service: dial tcp 127.0.0.1:9345: connect: connection refused
2026-06-12T14:37:21.692583417Z 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-12T14:37:21.692585676Z  > logger="UnhandledError"
2026-06-12T14:37:21.692589016Z I0612 14:37:19.060547       1 controller.go:126] OpenAPI AggregationController: action for item v1.subresources.kubevirt.io: Rate Limited Requeue.
2026-06-12T14:37:21.692591479Z E0612 14:37:19.373258       1 controller.go:113] "Unhandled Error" err=<
2026-06-12T14:37:21.692593805Z 	loading OpenAPI spec for "v1alpha3.subresources.kubevirt.io" failed with: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: error trying to reach service: proxy error from 127.0.0.1:9345 while dialing 10.52.1.30:8443, code 503: 503 Service Unavailable
2026-06-12T14:37:21.692596148Z 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-12T14:37:21.692598491Z  > logger="UnhandledError"
2026-06-12T14:37:21.692600993Z I0612 14:37:19.373288       1 controller.go:126] OpenAPI AggregationController: action for item v1alpha3.subresources.kubevirt.io: Rate Limited Requeue.
2026-06-12T14:37:21.692605103Z E0612 14:37:19.376403       1 controller.go:113] "Unhandled Error" err=<
2026-06-12T14:37:21.692610628Z 	loading OpenAPI spec for "v1beta1.upload.cdi.kubevirt.io" failed with: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: error trying to reach service: proxy error from 127.0.0.1:9345 while dialing 10.52.0.52:8443, code 503: 503 Service Unavailable
2026-06-12T14:37:21.692613352Z 	, Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
2026-06-12T14:37:21.692617544Z  > logger="UnhandledError"
2026-06-12T14:37:21.692620085Z I0612 14:37:19.376425       1 controller.go:126] OpenAPI AggregationController: action for item v1beta1.upload.cdi.kubevirt.io: Rate Limited Requeue.
2026-06-12T14:37:21.692622478Z E0612 14:37:19.379522       1 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta1.metrics.k8s.io\" failed with: Error, could not get list of group versions for APIService" logger="UnhandledError"
2026-06-12T14:37:21.692624891Z I0612 14:37:19.379543       1 controller.go:126] OpenAPI AggregationController: action for item v1beta1.metrics.k8s.io: Rate Limited Requeue.
2026-06-12T14:37:41.329909078Z E0612 14:37:41.329642       1 watch.go:301] "Unhandled Error" err="http2: stream closed" logger="UnhandledError"
2026-06-12T14:38:14.449560642Z I0612 14:38:14.449372       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:38:15.246986065Z I0612 14:38:15.246835       1 policy_source.go:248] refreshing policies
2026-06-12T14:39:32.234253636Z W0612 14:39:32.234118       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:39:32.234295398Z E0612 14:39:32.234158       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:39:32.246099133Z W0612 14:39:32.245982       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:39:32.246114040Z E0612 14:39:32.246013       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:40:07.968872467Z E0612 14:40:07.968713       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=260508&timeoutSeconds=417&watch=true" auditID="73de1f79-6720-4acb-aa5c-7ee9ea7993cc"
2026-06-12T14:40:07.968946984Z E0612 14:40:07.968876       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=260436&timeoutSeconds=309&watch=true" auditID="f2b678a8-a0ad-4ec1-b641-fb4020bf0491"
2026-06-12T14:40:07.989708654Z E0612 14:40:07.989610       1 watch.go:301] "Unhandled Error" err="client disconnected" logger="UnhandledError"
2026-06-12T14:40:07.990351932Z E0612 14:40:07.990283       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/tokens?allowWatchBookmarks=true&resourceVersion=260436&timeout=15m0s&timeoutSeconds=514&watch=true" auditID="f0205faa-980e-4fbc-ad8a-08f48151398d"
2026-06-12T14:40:07.990374485Z 2026/06/12 14:40:07 httputil: ReverseProxy read error during body copy: unexpected EOF
2026-06-12T14:40:07.990476084Z E0612 14:40:07.990424       1 wrap.go:53] "Timeout or abort while handling" logger="UnhandledError" method="GET" URI="/apis/ext.cattle.io/v1/kubeconfigs?allowWatchBookmarks=true&resourceVersion=260417&timeoutSeconds=598&watch=true" auditID="e9a945ae-0196-4c18-aaac-91603f44e683"
2026-06-12T14:41:11.038644188Z W0612 14:41:11.038518       1 logging.go:55] [core] [Channel #2648 SubChannel #2649]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-12T14:41:18.783022300Z W0612 14:41:18.782929       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:41:18.783041629Z E0612 14:41:18.782971       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:41:18.799285775Z W0612 14:41:18.799148       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:41:18.799324673Z E0612 14:41:18.799197       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:42:34.909499933Z W0612 14:42:34.909408       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:42:34.909523656Z E0612 14:42:34.909445       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:42:34.915261558Z W0612 14:42:34.915156       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:42:34.915279452Z E0612 14:42:34.915202       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:47:02.982030385Z W0612 14:47:02.981878       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:47:02.982057671Z E0612 14:47:02.981919       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:47:02.997326188Z W0612 14:47:02.997206       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:47:02.997350516Z E0612 14:47:02.997239       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:48:14.449925267Z I0612 14:48:14.449807       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:48:14.573942660Z I0612 14:48:14.573838       1 policy_source.go:248] refreshing policies
2026-06-12T14:48:47.012024348Z W0612 14:48:47.011875       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:48:47.012050689Z E0612 14:48:47.011929       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:48:47.024382282Z W0612 14:48:47.024233       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:48:47.024404080Z E0612 14:48:47.024288       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:57:34.292475543Z W0612 14:57:34.292289       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:57:34.292508639Z E0612 14:57:34.292352       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:57:34.304808695Z W0612 14:57:34.304649       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T14:57:34.304835649Z E0612 14:57:34.304728       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T14:58:14.450029215Z I0612 14:58:14.449891       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T14:58:14.907746422Z I0612 14:58:14.907575       1 policy_source.go:248] refreshing policies
2026-06-12T15:06:48.864450497Z W0612 15:06:48.864294       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
